Throughput,Total Time
0.5769230769230769,7.333333333333333E-5
0.8333333333333334,2.6150000000000002E-5
0.5,3.9E-5
0.7647058823529411,5.276923076923077E-5
0.5862068965517241,7.099999999999999E-5
0.7666666666666667,1.7826086956521738E-5
0.6129032258064516,2.7368421052631576E-5
0.5,3.626666666666667E-5
0.7391304347826086,3.1E-5
0.6428571428571429,3.944444444444445E-5
0.5714285714285714,2.983333333333333E-5
0.5416666666666666,4.230769230769231E-5
0.625,7.439999999999999E-5
0.5,4.714285714285714E-5
0.5789473684210527,4.3363636363636365E-5
