Total time,Total # of packets,New packet probability,Node failure rate,Number of intermediate nodes,Packet delivery fraction,Average time in system,Normalized routing load
100,27,0.2,0.5,4,0.07407407407407407,44.0,3.0
100,20,0.2,0.3333333333333333,4,0.2,39.5,2.0
100,19,0.2,0.25,4,0.3157894736842105,26.833333333333332,1.6666666666666667
100,24,0.2,0.2,4,0.3333333333333333,35.125,1.375
100,27,0.2,0.16666666666666666,4,0.5185185185185185,26.785714285714285,1.0714285714285714
100,19,0.2,0.14285714285714285,4,0.2631578947368421,43.2,1.6
100,16,0.2,0.125,4,0.6875,16.363636363636363,1.1818181818181819
100,18,0.2,0.1111111111111111,4,0.4444444444444444,27.0,1.25
100,20,0.2,0.1,4,0.6,19.25,1.1666666666666667
100,26,0.2,0.09090909090909091,4,0.5384615384615384,33.285714285714285,1.0714285714285714
