Throughput,Total Time
0.6666666666666666,3.3714285714285716E-5
0.8235294117647058,4.9500000000000004E-5
0.7272727272727273,2.9375E-5
0.7647058823529411,3.661538461538462E-5
0.7272727272727273,2.30625E-5
0.5625,8.144444444444445E-5
0.6,5.0583333333333334E-5
0.9090909090909091,2.49E-5
0.782608695652174,0.0
0.6363636363636364,5.757142857142857E-5
0.8,6.3625E-5
0.5789473684210527,8.363636363636364E-5
0.7777777777777778,1.8476190476190475E-5
0.8571428571428571,3.161111111111111E-5
0.6666666666666666,2.8499999999999998E-5
