Number of packets,Throughput,Total Time
11,0.7272727272727273,62.12500000000001
7,0.8571428571428571,72.33333333333333
12,1.0,35.75
8,0.5,111.75
12,1.0,30.0
10,0.8,62.875
12,0.9166666666666666,37.72727272727273
14,0.8571428571428571,33.833333333333336
7,0.7142857142857143,80.2
13,0.7692307692307693,40.6
11,0.8181818181818182,50.333333333333336
13,0.7692307692307693,40.8
7,0.8571428571428571,64.66666666666667
9,0.7777777777777778,65.57142857142857
12,0.9166666666666666,34.0
